"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Floresta","","","","609269912.3787296","606152875.0356848","601954042.049097","598545684.7906036","595379771.951569","592727915.2274235","589768412.51858","585955819.5400617","582529826.1685297","579204019.9747142","575257717.1193954","571538334.6349962","568129465.7750689","564520482.7403282","560988149.7537605","558642874.1123831","555792721.3090373","552651661.5479052","548490589.6484222","544370814.1134349","541377910.1669667","539042727.061852","537308944.5757837","535396494.02290237","534145877.41898966","533347616.88621694","532386033.9350347","531023428.412656","529314414.54934263","527796708.93754524","526190044.3581189","524749108.10244143","523683290.87269706","522636878.60020256","520557378.9780631","518261171.8983629","515418786.2636472","512199754.9439167","508873565.7853049","506710629.79562855"
"Floresta","Formação Florestal","","","419479065.45851094","418145522.94493353","415621236.425762","413373213.9550242","411662991.15142936","410391542.09853125","408797565.35167706","406791563.0285589","404899290.68789774","402757326.00542593","399898811.4515198","397317804.76967376","394947059.7000568","392714974.7549715","390563982.4252635","388903657.4317881","386986516.80280393","384778981.7019726","381676164.21974415","378836615.49498636","376683599.44973034","375057469.6611993","373836102.9179721","372548807.0754529","371813522.02066326","371455262.13948196","370929162.4498462","370526772.58531946","369897757.92848784","369284255.50159794","368483700.3365602","367595458.0082693","366918544.87246865","366196819.39281005","364756705.0338596","363240727.9997229","361373519.2309492","359520277.5422268","357847742.68517","356667342.5783223"
"Floresta","Restinga Arbórea","","","659350.2906487711","650704.8995710671","639888.6577603982","631983.2760660602","625192.9206565269","621726.3495729704","618703.950828344","612292.7445258161","611737.818433832","611472.8014212768","610423.4742449002","608478.8961622684","605723.369358245","601842.6390334025","599659.2078302422","599082.0309179405","598865.7331834177","598265.9321931826","596200.639968952","595076.2864891832","596981.9290828316","597792.5910686855","600679.700958947","599983.68630745","601401.3359579444","602328.4885012815","605989.7499775456","606952.2030804136","605090.2806312212","601391.2513229289","604453.1716525751","604201.6298230166","605241.6163931696","605989.2932639591","608180.8777404904","607146.0833170356","604688.7008955006","603524.8971333209","603834.0078652926","601099.5301618718"
"Floresta","Floresta Alagável","","","40612626.08754542","40462462.44437827","40328572.22771792","40172106.38772512","39967183.172285184","39912081.29459581","39794182.7376657","39684244.42343069","39555036.9375865","39490275.472371995","39335604.28901493","39118622.366282344","38989988.5575451","38817415.29472817","38572201.2358204","38825451.610396415","38817508.21505844","38788232.061746076","38758821.348134235","38702926.013073325","38709321.03146722","38697446.45196295","38707491.56859851","38677126.14558232","38625697.00198254","38632687.84792268","38648941.01069628","38654181.43471266","38691135.181561224","38687982.73010615","38664604.5276694","38604711.635698006","38593025.753426775","38609338.29125759","38572819.788883425","38574027.07717592","38479665.946084164","38238712.09919944","38090968.4130166","38251813.821588345"
"Floresta","Mangue","","","1007250.7160215816","1009015.4439886219","1006799.5856504262","1011896.7420975479","1016518.2483799334","1022433.3013003716","1023951.1650579523","1023535.13099869","1023581.5623789949","1025543.7620363091","1029590.5672746252","1030997.3514129649","1030359.0667219833","1025402.1631360165","1022518.1851684267","1031535.5841516202","1033346.5615576886","1035550.230568084","1036461.8447538789","1037548.4632625065","1035854.9641465271","1034826.8462023892","1033586.0859159516","1033703.4984383535","1036605.7090893297","1038219.4554601938","1041298.1832759839","1040157.2081777881","1040220.9140620584","1043939.1521066399","1039825.2774494205","1036759.0492068352","1033570.4749870814","1033778.9294448448","1036729.7758663179","1034398.0500049097","1040817.902037939","1038241.7149053531","1045824.2487813667","1044306.8901987744"
"Floresta","Formação Savânica","","","147511619.82600287","145885169.30281338","144357545.1522062","143356484.42969072","142107886.45881796","140780132.1834232","139534009.31335083","137844184.21254763","136440179.1622327","135319401.93345863","134383287.3373411","133462431.2514649","132556335.08138679","131360847.88845912","130229788.6996778","129283147.45512904","128356483.99643384","127450631.62142523","126422941.59582114","125198647.85562356","124352152.79253972","123655191.51141867","123131084.30233823","122536873.61712132","122068651.35129663","121619118.9548508","121160642.54123868","120195364.9813657","119080210.24460027","118179140.30241157","117397461.04478733","116907977.77944423","116532908.15542138","116190952.69342604","115582943.50171319","114804872.6881421","113920094.4836804","112798998.69045177","111285196.43047157","110146066.9753573"
"Vegetação Herbácea e Arbustiva","","","","53121477.91779158","54472076.527683906","53675563.22249136","51673320.61203901","51832115.78984873","52506656.476779945","50817945.435910776","51288158.193423524","50949991.84147572","51935764.136197075","50531526.47684444","50857488.21126949","50378193.89616669","51145923.76369504","49898828.10616833","51097043.05883598","51438331.48408917","50785203.10865796","50938659.50798308","50885530.14108844","50453495.3098979","49750215.66736927","49454883.70177856","49423946.13241475","49748857.8153436","49701855.37929161","48822058.24666946","49348178.65604342","49091580.25797363","48312981.34101444","48842232.329314694","48957599.73458482","48464387.048191644","47870827.77618038","48059083.82944648","48223517.74108945","47877685.124786","46525609.0502669","46500647.413643494","46595174.25954165"
"Vegetação Herbácea e Arbustiva","Formação Campestre","","","28172363.609595213","30142130.888137065","29090624.181084163","27441592.99138455","27046675.345081627","29636223.876934674","27861384.39438179","28317875.56118852","28300167.80929815","29970997.238878664","27357809.794677913","28125251.43215041","27008664.016290996","29390168.96978927","28139930.86160851","28010238.71403362","29708416.140198693","27907520.032232173","27927195.22772956","28230878.02422404","28417826.73897074","26238569.69683912","26093399.977053836","25955157.801368974","28314917.19883077","27196055.74819006","24715124.964845452","28341161.504642144","26998242.835484717","25126241.947343674","26377899.12932503","25809784.482319675","25895356.19599506","23711975.273448728","25899027.35907241","27320768.176108837","27050234.682184048","26187718.56869806","24678448.63025992","26622265.510433845"
"Vegetação Herbácea e Arbustiva","Restinga Herbácea","","","657133.8369068381","658337.121418634","648414.8003996211","640960.0635580295","638948.4945057281","634835.3129812322","628374.5968888353","626250.1665663404","623294.61310663","619384.953485078","615567.9004280121","615383.0310029828","620946.5218037084","624021.8230747274","622630.942886321","623470.7955769069","623437.1293979087","619366.5569408151","622195.4187479487","632254.0335653359","634825.5997153571","635126.8992108689","631292.9309692389","628143.4609135396","625327.4434982074","620539.0304237205","618751.9749652725","619793.67205228","624010.3119833351","629401.7740573853","630114.7176507775","631924.0926200899","631742.7308181562","632411.5643264034","627499.6880930657","626403.9518762641","621577.458185547","616394.3110600075","617442.2821299148","616303.8745878377"
"Vegetação Herbácea e Arbustiva","Campo Alagado e Área Pantanosa","","","22563264.142305385","21943413.296292752","22208341.87305872","21861801.43189828","22420655.13827738","20509633.38642589","20602034.140291784","20618357.625124328","20298617.38829725","19617715.817009937","20830938.952093467","20390561.74817704","21022081.65336635","19402327.412293337","19404553.98905911","20728824.457340624","19370684.456902318","20522273.478099413","20653637.349981844","20286918.335699476","19664770.186985034","21140691.69639562","20996140.01648462","21109855.34962912","19078725.73909497","20155947.451321367","21761224.22659838","18663945.704876896","19748068.163634077","20836105.368709225","20112546.852644123","20793616.408163827","20215694.781955976","21805763.424727347","19813152.81653272","18557753.463454273","18487091.718282066","18002593.06916874","19483689.909602348","17627298.85052432"
