date;treatment;plots;species;cover;observer
2016_01;BF;10.1;Croton gracilescens;5;Alessandra
2016_01;BF;10.1;Cuphea hyssopoides;1;Alessandra
2016_01;BF;10.1;Eriosema congestum;10;Alessandra
2016_01;BF;10.1;Medusantha mollissima;1;Alessandra
2016_01;BF;10.1;Senega abreui;1;Alessandra
2016_01;BF;10.10;Chamaecrista claussenii;40;Alessandra
2016_01;BF;10.10;Croton gracilescens;10;Alessandra
2016_01;BF;10.10;Deianira pallescens;5;Alessandra
2016_01;BF;10.10;Heteropterys pannosa;20;Alessandra
2016_01;BF;10.10;Hyptis remota;5;Alessandra
2016_01;BF;10.10;Mimosa diminuta;30;Alessandra
2016_01;BF;10.2;Prestonia quinquangularis;5;Alessandra
2016_01;BF;10.2;Camarea ericoides;1;Alessandra
2016_01;BF;10.2;Croton gracilescens;5;Alessandra
2016_01;BF;10.2;Eriope sp;1;Alessandra
2016_01;BF;10.2;Ruellia trachyphylla;10;Alessandra
2016_01;BF;10.3;Amasonia hirta;5;Alessandra
2016_01;BF;10.3;Croton gracilescens;5;Alessandra
2016_01;BF;10.3;Gymneia chapadensis;10;Alessandra
2016_01;BF;10.3;Hyptis remota;5;Alessandra
2016_01;BF;10.3;Ipomoea fiebrigii;10;Alessandra
2016_01;BF;10.3;Kielmeyera rubriflora;5;Alessandra
2016_01;BF;10.3;Medusantha mollissima;5;Alessandra
2016_01;BF;10.3;Oxalis goyazensis;1;Alessandra
2016_01;BF;10.3;Turnera incana;5;Alessandra
2016_01;BF;10.4;Chamaecrista claussenii;5;Alessandra
2016_01;BF;10.4;Eriope sp;5;Alessandra
2016_01;BF;10.4;Euphorbia potentilloides;1;Alessandra
2016_01;BF;10.4;Gymneia chapadensis;10;Alessandra
2016_01;BF;10.4;Heteropterys pannosa;10;Alessandra
2016_01;BF;10.4;Ruellia trachyphylla;10;Alessandra
2016_01;BF;10.4;Turnera incana;1;Alessandra
2016_01;BF;10.4;Cuphea hyssopoides;5;Alessandra
2016_01;BF;10.4;Croton gracilescens;5;Alessandra
2016_01;BF;10.5;Chamaecrista ochrosperma;10;Alessandra
2016_01;BF;10.5;Croton gracilescens;10;Alessandra
2016_01;BF;10.5;Cuphea hyssopoides;5;Alessandra
2016_01;BF;10.5;Eriope sp;5;Alessandra
2016_01;BF;10.5;Kielmeyera rubriflora;5;Alessandra
2016_01;BF;10.5;Turnera incana;1;Alessandra
2016_01;BF;10.6;Chamaecrista claussenii;20;Alessandra
2016_01;BF;10.6;Chamaecrista ochrosperma;5;Alessandra
2016_01;BF;10.6;Croton gracilescens;10;Alessandra
2016_01;BF;10.6;Declieuxia lancifolia;5;Alessandra
2016_01;BF;10.6;Eriope sp;1;Alessandra
2016_01;BF;10.6;Eriosema congestum;5;Alessandra
2016_01;BF;10.6;Medusantha mollissima;10;Alessandra
2016_01;BF;10.6;Ruellia nitens;5;Alessandra
2016_01;BF;10.7;Anemopaegma arvense;5;Alessandra
2016_01;BF;10.7;Ayapana amygdalina;10;Alessandra
2016_01;BF;10.7;Bernardia hirsutissima;5;Alessandra
2016_01;BF;10.7;Croton gracilescens;10;Alessandra
2016_01;BF;10.7;Cuphea hyssopoides;1;Alessandra
2016_01;BF;10.7;Hemipogon acerosus;5;Alessandra
2016_01;BF;10.7;Heteropterys pannosa;10;Alessandra
2016_01;BF;10.7;Ruellia nitens;5;Alessandra
2016_01;BF;10.8;Aldama grandiflora;5;Alessandra
2016_01;BF;10.8;Chamaecrista claussenii;30;Alessandra
2016_01;BF;10.8;Croton gracilescens;5;Alessandra
2016_01;BF;10.8;Cuphea hyssopoides;5;Alessandra
2016_01;BF;10.8;Declieuxia lancifolia;1;Alessandra
2016_01;BF;10.8;Eriope sp;5;Alessandra
2016_01;BF;10.8;Hyptis remota;1;Alessandra
2016_01;BF;10.8;Ipomoea fiebrigii;5;Alessandra
2016_01;BF;10.8;Medusantha mollissima;10;Alessandra
2016_01;BF;10.8;Mimosa gracilis;1;Alessandra
2016_01;BF;10.8;Ruellia nitens;30;Alessandra
2016_01;BF;10.8;Pseudotrimezia juncifolia;1;Alessandra
2016_01;BF;10.9;Amasonia hirta;5;Alessandra
2016_01;BF;10.9;Croton gracilescens;10;Alessandra
2016_01;BF;10.9;Hemipogon acerosus;5;Alessandra
2016_01;BF;10.9;Hyptis remota;5;Alessandra
2016_01;BF;10.9;Ipomoea fiebrigii;5;Alessandra
2016_01;BF;10.9;Mimosa gracilis;1;Alessandra
2016_01;BF;10.9;Ruellia nitens;5;Alessandra
2016_01;FE;12.1;Croton gracilescens;10;Alessandra
2016_01;FE;12.1;Eriosema congestum;10;Alessandra
2016_01;FE;12.1;Gymneia chapadensis;5;Alessandra
2016_01;FE;12.1;Hypenia sp;1;Alessandra
2016_01;FE;12.1;Kielmeyera rubriflora;10;Alessandra
2016_01;FE;12.1;Medusantha mollissima;10;Alessandra
2016_01;FE;12.1;Tibouchina melastomoides;1;Alessandra
2016_01;FE;12.10;Croton gracilescens;5;Alessandra
2016_01;FE;12.10;Galactia sp;5;Alessandra
2016_01;FE;12.10;Gymneia chapadensis;5;Alessandra
2016_01;FE;12.10;Justicia lanstyakii;1;Alessandra
2016_01;FE;12.10;Pseudotrimezia juncifolia;5;Alessandra
2016_01;FE;12.10;Ruellia trachyphylla;5;Alessandra
2016_01;FE;12.2;Croton gracilescens;5;Alessandra
2016_01;FE;12.2;Cuphea hyssopoides;1;Alessandra
2016_01;FE;12.2;Gymneia chapadensis;5;Alessandra
2016_01;FE;12.2;Medusantha mollissima;5;Alessandra
2016_01;FE;12.3;Anemopaegma arvense;1;Alessandra
2016_01;FE;12.3;Croton gracilescens;10;Alessandra
2016_01;FE;12.3;Declieuxia lancifolia;1;Alessandra
2016_01;FE;12.3;Distimake ericoides;20;Alessandra
2016_01;FE;12.3;Justicia lanstyakii;5;Alessandra
2016_01;FE;12.3;Kielmeyera rubriflora;20;Alessandra
2016_01;FE;12.3;Oxalis goyazensis;1;Alessandra
2016_01;FE;12.4;Amasonia hirta;5;Alessandra
2016_01;FE;12.4;Anemopaegma arvense;5;Alessandra
2016_01;FE;12.4;Croton gracilescens;10;Alessandra
2016_01;FE;12.4;Cuphea hyssopoides;1;Alessandra
2016_01;FE;12.4;Galactia sp;1;Alessandra
2016_01;FE;12.4;Gymneia chapadensis;5;Alessandra
2016_01;FE;12.4;Hemipogon acerosus;1;Alessandra
2016_01;FE;12.4;Ipomoea paulistana;1;Alessandra
2016_01;FE;12.4;Justicia lanstyakii;5;Alessandra
2016_01;FE;12.4;Medusantha mollissima;5;Alessandra
2016_01;FE;12.4;Mimosa gracilis;1;Alessandra
2016_01;FE;12.4;Senega poaya;1;Alessandra
2016_01;FE;12.5;Amasonia hirta;5;Alessandra
2016_01;FE;12.5;Croton gracilescens;5;Alessandra
2016_01;FE;12.5;Cuphea hyssopoides;1;Alessandra
2016_01;FE;12.5;Hypenia sp;1;Alessandra
2016_01;FE;12.5;Ruellia trachyphylla;10;Alessandra
2016_01;FE;12.6;Aldama grandiflora;10;Alessandra
2016_01;FE;12.6;Chamaecrista claussenii;5;Alessandra
2016_01;FE;12.6;Chamaecrista isidorea;5;Alessandra
2016_01;FE;12.6;Ipomoea paulistana;1;Alessandra
2016_01;FE;12.6;Justicia lanstyakii;1;Alessandra
2016_01;FE;12.6;Kielmeyera rubriflora;5;Alessandra
2016_01;FE;12.6;Medusantha mollissima;5;Alessandra
2016_01;FE;12.6;Oxalis goyazensis;5;Alessandra
2016_01;FE;12.7;Aldama grandiflora;1;Alessandra
2016_01;FE;12.7;Amasonia hirta;10;Alessandra
2016_01;FE;12.7;Anemopaegma arvense;1;Alessandra
2016_01;FE;12.7;Croton gracilescens;5;Alessandra
2016_01;FE;12.7;Hemipogon acerosus;1;Alessandra
2016_01;FE;12.7;Heteropterys pannosa;1;Alessandra
2016_01;FE;12.7;Ichthyothere hirsuta;5;Alessandra
2016_01;FE;12.7;Manihot kalungae;5;Alessandra
2016_01;FE;12.8;Cipura xanthomelas;10;Alessandra
2016_01;FE;12.8;Croton gracilescens;10;Alessandra
2016_01;FE;12.8;Sabicea brasiliensis;5;Alessandra
2016_01;FE;12.8;Eriope sp;1;Alessandra
2016_01;FE;12.8;Gymneia chapadensis;5;Alessandra
2016_01;FE;12.8;Ichthyothere hirsuta;1;Alessandra
2016_01;FE;12.8;Ruellia trachyphylla;20;Alessandra
2016_01;FE;12.9;Amasonia hirta;5;Alessandra
2016_01;FE;12.9;Chamaecrista claussenii;10;Alessandra
2016_01;FE;12.9;Croton gracilescens;10;Alessandra
2016_01;FE;12.9;Eriosema congestum;10;Alessandra
2016_01;FE;12.9;Euphorbia potentilloides ;1;Alessandra
2016_01;FE;12.9;Kielmeyera rubriflora;20;Alessandra
2016_01;FE;12.9;Manihot kalungae;5;Alessandra
2016_01;FE;12.9;Ruellia trachyphylla;10;Alessandra
2016_01;FE;13.1;Ayapana amygdalina;5;Alessandra
2016_01;FE;13.1;Croton gracilescens;10;Alessandra
2016_01;FE;13.1;Gymneia chapadensis;10;Alessandra
2016_01;FE;13.1;Ichthyothere hirsuta;10;Alessandra
2016_01;FE;13.1;Mimosa cavalcantina;5;Alessandra
2016_01;FE;13.1;Mimosa gracilis;10;Alessandra
2016_01;FE;13.10;Ancistrotropis firmula;20;Alessandra
2016_01;FE;13.10;Chamaecrista isidorea;10;Alessandra
2016_01;FE;13.10;Cipura xanthomelas;10;Alessandra
2016_01;FE;13.10;Croton gracilescens;10;Alessandra
2016_01;FE;13.10;Declieuxia lancifolia;1;Alessandra
2016_01;FE;13.10;Hypenia sp;1;Alessandra
2016_01;FE;13.10;Hyptis remota;10;Alessandra
2016_01;FE;13.10;Kielmeyera abdita;5;Alessandra
2016_01;FE;13.10;Mimosa cavalcantina;5;Alessandra
2016_01;FE;13.2;Anemopaegma arvense;5;Alessandra
2016_01;FE;13.2;Croton gracilescens;10;Alessandra
2016_01;FE;13.2;Cuphea hyssopoides;5;Alessandra
2016_01;FE;13.2;Gymneia chapadensis;5;Alessandra
2016_01;FE;13.2;Mimosa gracilis;1;Alessandra
2016_01;FE;13.2;Turnera incana;1;Alessandra
2016_01;FE;13.3;Croton gracilescens;10;Alessandra
2016_01;FE;13.3;Cuphea hyssopoides;1;Alessandra
2016_01;FE;13.3;Eriosema congestum;5;Alessandra
2016_01;FE;13.3;Euphorbia potentilloides ;1;Alessandra
2016_01;FE;13.3;Ichthyothere hirsuta;5;Alessandra
2016_01;FE;13.4;Croton gracilescens;10;Alessandra
2016_01;FE;13.4;Cuphea hyssopoides;5;Alessandra
2016_01;FE;13.4;Ichthyothere hirsuta;5;Alessandra
2016_01;FE;13.4;Chamaecrista claussenii;5;Alessandra
2016_01;FE;13.4;Eriosema congestum;15;Alessandra
2016_01;FE;13.4;Aldama grandiflora;1;Alessandra
2016_01;FE;13.4;Gymneia chapadensis;5;Alessandra
2016_01;FE;13.4;Oxalis goyazensis;1;Alessandra
2016_01;FE;13.6;Chamaecrista isidorea;10;Alessandra
2016_01;FE;13.6;Croton gracilescens;5;Alessandra
2016_01;FE;13.6;Eriope sp;1;Alessandra
2016_01;FE;13.6;Ipomoea paulistana;10;Alessandra
2016_01;FE;13.6;Lippia horridula;1;Alessandra
2016_01;FE;13.6;Tibouchina melastomoides;5;Alessandra
2016_01;FE;13.7;Borreria tenella;5;Alessandra
2016_01;FE;13.7;Chamaecrista claussenii;5;Alessandra
2016_01;FE;13.7;Croton gracilescens;5;Alessandra
2016_01;FE;13.7;Eriope sp;5;Alessandra
2016_01;FE;13.7;Euphorbia potentilloides ;5;Alessandra
2016_01;FE;13.7;Gymneia chapadensis;10;Alessandra
2016_01;FE;13.7;Heteropterys pannosa;5;Alessandra
2016_01;FE;13.7;Medusantha mollissima;5;Alessandra
2016_01;FE;13.8;Chamaecrista claussenii;5;Alessandra
2016_01;FE;13.8;Croton gracilescens;10;Alessandra
2016_01;FE;13.8;Eriope sp;1;Alessandra
2016_01;FE;13.8;Euphorbia potentilloides ;5;Alessandra
2016_01;FE;13.8;Galactia sp;5;Alessandra
2016_01;FE;13.8;Gymneia chapadensis;5;Alessandra
2016_01;FE;13.8;Hypenia sp;1;Alessandra
2016_01;FE;13.8;Ipomoea paulistana;5;Alessandra
2016_01;FE;13.8;Justicia lanstyakii;10;Alessandra
2016_01;FE;13.8;Mimosa longipes;1;Alessandra
2016_01;FE;13.8;Ruellia trachyphylla;5;Alessandra
2016_01;FE;13.8;Tibouchina melastomoides;5;Alessandra
2016_01;FE;13.9;Croton gracilescens;10;Alessandra
2016_01;FE;13.9;Mimosa gracilis;10;Alessandra
2016_01;FE;13.9;Mimosa macrocephala;5;Alessandra
2016_01;FE;13.9;Ichthyothere hirsuta;10;Alessandra
2016_01;FE;13.9;Ayapana amygdalina;10;Alessandra
2016_01;BF;17.1;Aldama grandiflora;5;Alessandra
2016_01;BF;17.1;Calliandra dysantha;10;Alessandra
2016_01;BF;17.1;Chamaecrista fagonioides;20;Alessandra
2016_01;BF;17.1;Croton gracilescens;20;Alessandra
2016_01;BF;17.1;Gymneia chapadensis;10;Alessandra
2016_01;BF;17.4;Calliandra dysantha;5;Alessandra
2016_01;BF;17.4;Chamaecrista ochrosperma;5;Alessandra
2016_01;BF;17.4;Croton gracilescens;20;Alessandra
2016_01;BF;17.4;Eriope sp;10;Alessandra
2016_01;BF;17.4;Gymneia chapadensis;20;Alessandra
2016_01;BF;17.4;Hemipogon acerosus;5;Alessandra
2016_01;BF;17.4;Heteropterys pannosa;10;Alessandra
2016_01;BF;17.4;Mimosa macrocephala;10;Alessandra
2016_01;BF;17.5;Camarea ericoides;5;Alessandra
2016_01;BF;17.5;Croton gracilescens;10;Alessandra
2016_01;BF;17.5;Gymneia chapadensis;5;Alessandra
2016_01;BF;17.5;Heteropterys pannosa;5;Alessandra
2016_01;BF;17.5;Ruellia trachyphylla;20;Alessandra
2016_01;BF;17.5;Turnera incana;10;Alessandra
2016_01;BF;17.5;Lippia horridula;5;Alessandra
2016_01;BF;2.1;Calliandra dysantha;10;Alessandra
2016_01;BF;2.1;Chamaecrista claussenii;5;Alessandra
2016_01;BF;2.1;Croton gracilescens;10;Alessandra
2016_01;BF;2.1;Eriope sp;5;Alessandra
2016_01;BF;2.1;Hemipogon acerosus;1;Alessandra
2016_01;BF;2.1;Hyptis remota;1;Alessandra
2016_01;BF;2.1;Ichthyothere hirsuta;5;Alessandra
2016_01;BF;2.1;Oxalis goyazensis;5;Alessandra
2016_01;BF;2.1;Ruellia trachyphylla;20;Alessandra
2016_01;BF;2.1;Senega abreui;1;Alessandra
2016_01;BF;2.10;Aldama bracteata;5;Alessandra
2016_01;BF;2.10;Camarea ericoides;10;Alessandra
2016_01;BF;2.10;Croton gracilescens;10;Alessandra
2016_01;BF;2.10;Deianira pallescens;5;Alessandra
2016_01;BF;2.10;Heteropterys pannosa;10;Alessandra
2016_01;BF;2.10;Hypenia sp;5;Alessandra
2016_01;BF;2.10;Hyptis remota;10;Alessandra
2016_01;BF;2.10;Mimosa cavalcantina;10;Alessandra
2016_01;BF;2.10;Mimosa gracilis;10;Alessandra
2016_01;BF;2.10;Tibouchina melastomoides;5;Alessandra
2016_01;BF;2.2;Chamaecrista claussenii;30;Alessandra
2016_01;BF;2.2;Chamaecrista ochrosperma;10;Alessandra
2016_01;BF;2.2;Croton gracilescens;5;Alessandra
2016_01;BF;2.2;Heteropterys pannosa;20;Alessandra
2016_01;BF;2.2;Mimosa gracilis;10;Alessandra
2016_01;BF;2.2;Ruellia trachyphylla;5;Alessandra
2016_01;BF;2.2;Senega abreui;1;Alessandra
2016_01;BF;2.3;Chamaecrista ochrosperma;5;Alessandra
2016_01;BF;2.3;Croton gracilescens;10;Alessandra
2016_01;BF;2.3;Eriope sp;1;Alessandra
2016_01;BF;2.3;Ichthyothere hirsuta;10;Alessandra
2016_01;BF;2.3;Distimake ericoides;10;Alessandra
2016_01;BF;2.3;Mimosa cavalcantina;10;Alessandra
2016_01;BF;2.3;Mimosa gracilis;10;Alessandra
2016_01;BF;2.3;Ruellia trachyphylla;10;Alessandra
2016_01;BF;2.3;Ayapana amygdalina;5;Alessandra
2016_01;BF;2.4;Bernardia hirsutissima;5;Alessandra
2016_01;BF;2.4;Borreria poaya;10;Alessandra
2016_01;BF;2.4;Croton gracilescens;50;Alessandra
2016_01;BF;2.4;Eriope sp;1;Alessandra
2016_01;BF;2.4;Euphorbia potentilloides;5;Alessandra
2016_01;BF;2.4;Gymneia chapadensis;10;Alessandra
2016_01;BF;2.4;Hypenia sp;5;Alessandra
2016_01;BF;2.4;Hyptis remota;10;Alessandra
2016_01;BF;2.4;Justicia lanstyakii;1;Alessandra
2016_01;BF;2.4;Distimake ericoides;5;Alessandra
2016_01;BF;2.4;Mimosa gracilis;5;Alessandra
2016_01;BF;2.6;Croton gracilescens;5;Alessandra
2016_01;BF;2.6;Deianira pallescens;1;Alessandra
2016_01;BF;2.6;Justicia lanstyakii;5;Alessandra
2016_01;BF;2.6;Mimosa gracilis;10;Alessandra
2016_01;BF;2.6;Ruellia trachyphylla;10;Alessandra
2016_01;BF;2.8;Croton gracilescens;10;Alessandra
2016_01;BF;2.8;Hyptis remota;10;Alessandra
2016_01;BF;2.8;Mimosa gracilis;20;Alessandra
2016_01;BF;2.8;Oxalis goyazensis;5;Alessandra
2016_01;BF;2.8;Ruellia trachyphylla;20;Alessandra
2016_01;BF;2.8;Senega abreui;1;Alessandra
2016_01;BF;2.9;Croton gracilescens;10;Alessandra
2016_01;BF;2.9;Eriope sp;5;Alessandra
2016_01;BF;2.9;Mimosa gracilis;10;Alessandra
2016_01;BF;2.9;Senega abreui;1;Alessandra
2016_01;BF;23.1;Aldama grandiflora;10;Alessandra
2016_01;BF;23.1;Chamaecrista fagonioides;5;Alessandra
